volume,issue,entry_type,title,author,link,tags,pages,num_pages
132,1,Article,"Open Access, Interoperability, and DTCC’s Unexpected Path to Monopoly",Dan Awrey & Joshua C. Macey,/article/open-access,Antitrust Law,1-325,324.0
132,1,Feature,Neutralizing the Atmosphere,Shelley Welton,/feature/neutralizing-the-atmosphere,Environmental Law,1-325,324.0
132,1,Note,"Between Public and Private: Care Workers, Fissuring, and Labor Law",Kyle Bigley,/note/between-public-and-private,Labor and Employment Law,1-325,324.0
131,8,Introduction,Introduction to the Special Issue on the Law of the Territories,Rachel Valentina Sommers,/introduction/introduction-to-the-special-issue-on-the-law-of-the-territories,,2390-2758,368.0
131,8,Article,"Navassa: Property, Sovereignty, and the Law of the Territories",Joseph Blocher & Mitu Gulati,/article/navassa,U.S. Territories,2390-2758,368.0
131,8,Article,The Insular Cases Run Amok: Against Constitutional Exceptionalism in the Territories,Christina D. Ponsa-Kraus,/article/the-insular-cases-run-amok,U.S. Territories,2390-2758,368.0
131,8,Article,Aurelius’s Article III Revisionism: Reimagining Judicial Engagement with the Insular Cases and “The Law of the Territories”,James T. Campbell,/article/aureliuss-article-iii-revisionism,U.S. Territories,2390-2758,368.0
131,8,Article,Indigenous Subjects,Addie C. Rolnick,/article/indigenous-subjects,U.S. Territories,2390-2758,368.0
131,7,Article,The Separation-of-Powers Counterrevolution,Nikolas Bowie & Daphna Renan,/article/the-separation-of-powers-counterrevolution,Separation of Powers • Legal History,2020-2386,366.0
131,7,Review,"Rights, Structure, and Remediation",Don R. Willett & Aaron Gordon,/review/rights-structure-and-remediation,Remedies • Constitutional Law,2020-2386,366.0
131,7,Note,State Water Ownership and the Future of Groundwater Management,Samuel T. Ayres,/note/state-water-ownership-and-the-future-of-groundwater-management,Environmental Law,2020-2386,366.0
131,7,Note,“We Hold the Government to Its Word”: How McGirt v. Oklahoma Revives Aboriginal Title,Claire Blumenthal,/note/we-hold-the-government-to-its-word,Federal Indian Law,2020-2386,366.0
131,6,Article,Whose Child Is This? Improving Child-Claiming Rules in Safety-Net Programs,Jacob Goldin & Ariel Jurow Kleiman,/article/whose-child-is-this,Tax,1719-2019,300.0
131,6,Essay,Policing the Polity,Eisha Jain,/essay/policing-the-polity,Immigration Law • Policing,1719-2019,300.0
131,6,Review,"Capitalist Development, Labor Law, and the New Working Class",Brishen Rogers,/review/capitalist-development-labor-law-and-the-new-working-class,Labor and Employment Law,1719-2019,300.0
131,6,Note,Proceduralize Student Speech,Bo Malin-Mayor,/note/proceduralize-student-speech,First Amendment • Education Law,1719-2019,300.0
131,6,Note,Youth Always Matters: Replacing Eighth Amendment Pseudoscience with an Age-Based Ban on Juvenile Life Without Parole,Hannah Duncan,/note/youth-always-matters,Criminal Law,1719-2019,300.0
131,5,Article,Free-World Law Behind Bars,Aaron Littman,/article/free-world-law-behind-bars,Prisons and Jails,1385-1718,333.0
131,5,Article,The Antitrust Duty to Deal in the Age of Big Tech,Erik Hovenkamp,/article/the-antitrust-duty-to-deal-in-the-age-of-big-tech,Antitrust Law,1385-1718,333.0
131,5,Review,Unwritten Law and the Odd Ones Out,Vincent S.J. Buccola,/review/unwritten-law-and-the-odd-ones-out,Bankruptcy,1385-1718,333.0
131,5,Note,Equalizing Access to Evidence: Criminal Defendants and the Stored Communications Act,Rebecca Steele,/note/equalizing-access-to-evidence-criminal-defendants-and-the-stored-communications-act,Criminal Procedure,1385-1718,333.0
131,5,Note,Schoolhouse Property,Sherry Maria Tanious,/note/schoolhouse-property,Education Law • Constitutional Law,1385-1718,333.0
131,4,Article,The History Wars and Property Law: Conquest and Slavery as Foundational to the Field,K-Sue Park,/article/the-history-wars-and-property-law-conquest-and-slavery-as-foundational-to-the-field,Property,1062-1384,322.0
131,4,Article,Bankruptcy Grifters,Lindsey D. Simon,/article/bankruptcy-grifters,Bankruptcy,1062-1384,322.0
131,4,Feature,Corporate Governance Reform and the Sustainability Imperative,Christopher M. Bruner,/feature/corporate-governance-reform-and-the-sustainability-imperative,Corporate Law,1062-1384,322.0
131,4,Note,Agency Control and Internally Binding Norms,Alexander Nabavi-Noori,/note/agency-control-and-internally-binding-norms,Administrative Law,1062-1384,322.0
131,4,Note,Fitting the MPC into a Reasons-Responsiveness Conception of Subjective Culpability,Gregory Antill,/note/fitting-the-mpc-into-a-reasons-responsiveness-conception-of-subjective-culpability,Criminal Law,1062-1384,322.0
131,3,Article,The Corporate Governance Gap,Kobi Kastiel & Yaron Nili,/article/the-corporate-governance-gap,Corporate Law,782-1061,279.0
131,3,Article,The Emergence of Neutrality,Jud Campbell,/article/the-emergence-of-neutrality,First Amendment • Constitutional Law,782-1061,279.0
131,3,Review,"Writing About the Past That Made Us: Scholars, Civic Culture, and the American Present and Future",Annette Gordon-Reed,/review/writing-about-the-past-that-made-us,Constitutional Law • Legal History,782-1061,279.0
131,3,Note,One Size Fits None: An Overdue Reform for Chapter 7 Trustees,Belisa Pang & Emile Shehada,/note/one-size-fits-none,Bankruptcy,782-1061,279.0
131,3,Comment,Fruit of the Racist Tree: A Super-Exclusionary Rule for Racist Policing Under California’s Racial Justice Act,Marnie Lowe,/comment/fruit-of-the-racist-tree,Policing • Criminal Procedure,782-1061,279.0
131,2,Article,Disparate Limbo: How Administrative Law Erased Antidiscrimination,"Cristina Isabel Ceballos, David Freeman Engstrom & Daniel E. Ho",/article/disparate-limbo,Administrative Law • Antidiscrimination Law,370-781,411.0
131,2,Article,Rethinking Police Expertise,Anna Lvovsky,/article/rethinking-police-expertise,Policing,370-781,411.0
131,2,Feature,A Relational Theory of Data Governance,Salomé Viljoen,/feature/a-relational-theory-of-data-governance,Privacy • Contracts,370-781,411.0
131,2,Note,Introducing Independence to the Foreign Intelligence Surveillance Court,Simon Chin,/note/introducing-independence-to-the-foreign-intelligence-surveillance-court,National Security,370-781,411.0
131,2,Note,Judging the Fed,Steffi Ostrowski,/note/judging-the-fed,Administrative Law,370-781,411.0
131,1,Article,Unpacking Third-Party Standing,Curtis A. Bradley & Ernest A. Young,/article/unpacking-third-party-standing,Civil Procedure,1-369,368.0
131,1,Article,Subordination and Separation of Powers,Matthew B. Lawrence,/article/subordination-and-separation-of-powers,Separation of Powers,1-369,368.0
131,1,Feature,Recovering the Moral Economy Foundations of the Sherman Act,Sanjukta Paul,/feature/recovering-the-moral-economy-foundations-of-the-sherman-act,Antitrust Law,1-369,368.0
131,1,Note,Not Hers Alone: Victim Standing Before the CEDAW Committee After M.W. v. Denmark,Jessica Tueller,/note/not-hers-alone,International Law,1-369,368.0
131,1,Note,Reconstructing the Bankruptcy Power: An Originalist Approach,Joseph E. Simmons,/note/reconstructing-the-bankruptcy-power-an-originalist-approach,Bankruptcy,1-369,368.0
130,8,Article,Antitrust and Platform Monopoly,Herbert Hovenkamp,/article/antitrust-and-platform-monopoly,Antitrust Law,1952-2273,321.0
130,8,Review,(Re)Framing Race in Civil Rights Lawyering,Angela Onwuachi-Willig & Anthony V. Alfieri,/review/reframing-race-in-civil-rights-lawyering,Critical Legal Studies • Civil-Rights Law,1952-2273,321.0
130,8,Note,Congressional Influence on Military Justice,Max Jesse Goldberg,/note/congressional-influence-on-military-justice,Military Justice,1952-2273,321.0
130,8,Note,Dismantling the Master’s House: Reparations on the American Plantation,Jordan Brewington,/note/dismantling-the-masters-house-reparations-on-the-american-plantation,Critical Race Theory • Property,1952-2273,321.0
130,8,Note,Divide and Conquer? Lessons on Cooperative Federalism from a Decade of Mental Health Parity Enforcement,Caroline V. Lawrence & Blake N. Shultz,/note/divide-and-conquer-lessons-on-cooperative-federalism-from-a-decade-of-mental-health-parity-enforcement,Federalism • Health Law,1952-2273,321.0
130,7,Article,The Constitutional Right of Self-Government,Nikolas Bowie,/article/the-constitutional-right-of-self-government,Constitutional Law • Legal History,1652-1951,299.0
130,7,Feature,Reasoned Explanation and Political Accountability in the Roberts Court,Benjamin Eidelson,/feature/reasoned-explanation-and-political-accountability-in-the-roberts-court,Administrative Law,1652-1951,299.0
130,7,Note,Title 18 Insider Trading,Zachary J. Lustbader,/note/title-18-insider-trading,Criminal Law • Corporate Law,1652-1951,299.0
130,7,Note,Voters Need to Know: Assessing the Legality of Redboxing in Federal Elections,Kaveri Sharma,/note/voters-need-to-know,Election Law,1652-1951,299.0
130,6,Article,A Critical Assessment of the Originalist Case Against Administrative Regulatory Power: New Evidence from the Federal Tax on Private Real Estate in the 1790s,Nicholas R. Parrillo,/article/a-critical-assessment,Administrative Law • Constitutional Law • Legal History,1288-1651,363.0
130,6,Review,Reevaluating Legal Theory,Jeff Pojanowski,/review/reevaluating-legal-theory,Legal Philosophy,1288-1651,363.0
130,6,Feature,Nondelegation at the Founding,Ilan Wurman,/feature/nondelegation-at-the-founding,Administrative Law • Constitutional Law • Legal History,1288-1651,363.0
130,6,Note,Disability Law and HIV Criminalization,Joshua D. Blecher-Cohen,/note/disability-law-and-hiv-criminalization,Antidiscrimination Law • Criminal Law,1288-1651,363.0
130,6,Comment,Unsafe and Unsound: HIV Policy in the U.S. Military,Nikita Lalwani,/comment/unsafe-and-unsound-hiv-policy-in-the-us-military,Health Law,1288-1651,363.0
130,5,Article,Equity as Meta-Law,Henry E. Smith,/article/equity-as-meta-law,Legal Philosophy,1050-1287,237.0
130,5,Essay,The Moral Ambiguity of Public Prosecution,Gabriel S. Mendlow,/essay/the-moral-ambiguity-of-public-prosecution,Criminal Law • Legal Philosophy,1050-1287,237.0
130,5,Review,"Truer U.S. History: Race, Borders, and Status Manipulation",Sam Erman,/review/truer-us-history-race-borders-and-status-manipulation,Legal History,1050-1287,237.0
130,5,Comment,Prison Malapportionment: Forging a New Path for State Courts,Alaa Chaker,/comment/prison-malapportionment-forging-a-new-path-for-state-courts,Election Law,1050-1287,237.0
130,4,Article,Police Reform Through a Power Lens,Jocelyn Simonson,/article/police-reform-through-a-power-lens,Policing • Criminal Law,778-1049,271.0
130,4,Article,The Race-Blind Future of Voting Rights,Jowei Chen & Nicholas O. Stephanopoulos,/article/the-race-blind-future-of-voting-rights,Constitutional Law • Election Law,778-1049,271.0
130,4,Feature,Executive Defiance and the Deportation State,Jennifer Lee Koh,/feature/executive-defiance-and-the-deportation-state,Administrative Law • Immigration Law,778-1049,271.0
130,4,Note,The Problem with Public Charge,Joseph Daval,/note/the-problem-with-public-charge,Administrative Law • Immigration Law,778-1049,271.0
130,3,Article,Constructing Countervailing Power: Law and Organizing in an Era of Political Inequality,Kate Andrias & Benjamin I. Sachs,/article/constructing-countervailing-power-law-and-organizing-in-an-era-of-political-inequality,Labor and Employment Law • Civil-Rights Law,546-777,231.0
130,3,Feature,"Technocratic Pragmatism, Bureaucratic Expertise, and the Federal Reserve",Peter Conti-Brown & David A. Wishnick,/feature/technocratic-pragmatism-bureaucratic-expertise-and-the-federal-reserve,Administrative Law,546-777,231.0
130,3,Note,Spinning Secrets: The Dangers of Selective Declassification,Sasha Dudding,/note/spinning-secrets-the-dangers-of-selective-declassification,Constitutional Law • International Law,546-777,231.0
130,2,Article,Retroactive Adjudication,Samuel Beswick,/article/retroactive-adjudication,Constitutional Law • Civil Procedure • Federal Courts • Legal Philosophy • Property,276-545,269.0
130,2,Article,Distorted Choice in Corporate Bankruptcy,"David A. Skeel, Jr.",/article/distorted-choice-in-corporate-bankruptcy,Bankruptcy • Corporate Law,276-545,269.0
130,2,Note,Labor’s Antitrust Problem: A Case for Worker Welfare,Eugene K. Kim,/note/labors-antitrust-problem-a-case-for-worker-welfare,Labor and Employment Law • Law and Economics • Antitrust Law,276-545,269.0
130,2,Note,When Marriage Is Too Much: Reviving the Registered Partnership in a Diverse Society,Mary Charlotte Y. Carroll,/note/when-marriage-is-too-much-reviving-the-registered-partnership-in-a-diverse-society,Critical Legal Studies • Family Law • Health Law,276-545,269.0
130,1,Article,Expounding the Constitution,Farah Peterson,/article/expounding-the-constitution,Constitutional Law • Legal History • Legislation,1-275,274.0
130,1,Article,The First Amendment and the Right(s) of Publicity,Robert C. Post & Jennifer E. Rothman,/article/the-first-amendment-and-the-rights-of-publicity,Constitutional Law • Torts,1-275,274.0
130,1,Note,The Attorney General’s Settlement Authority and the Separation of Powers,Simon Brewer,/note/the-attorney-generals-settlement-authority-and-the-separation-of-powers,Administrative Law • Civil Procedure • Constitutional Law,1-275,274.0
130,1,Note,Condemning Worship: Religious Liberty Protections and Church Takings,"Patrick E. Reidy, c.s.c.",/note/condemning-worship-religious-liberty-protections-and-church-takings,Property • Constitutional Law,1-275,274.0
129,8,Article,Commonsense Consent,Roseanna Sommers,/article/commonsense-consent,Experimental Jurisprudence,2232-2605,373.0
129,8,Article,Federalism by Contract,Bridget A. Fahey,/article/federalism-by-contract,Federalism • Contracts,2232-2605,373.0
129,8,Feature,The Facebook Oversight Board: Creating an Independent Institution to Adjudicate Online Free Expression,Kate Klonick,/feature/the-facebook-oversight-board,Internet Law • First Amendment • Media Law,2232-2605,373.0
129,8,Note,The Law of Presidential Transitions,Joshua P. Zoffer,/note/the-law-of-presidential-transitions,Constitutional Law • Executive Power,2232-2605,373.0
129,8,Comment,Colonizing History: Rice v. Cayetano and the Fight for Native Hawaiian Self-Determination,Lisset M. Pino,/comment/colonizing-history-rice-v-cayetano,Legal History • Critical Race Theory • Constitutional Law,2232-2605,373.0
129,7,Article,Law Within Congress,Jonathan S. Gould,/article/law-within-congress,Legislation • Statutory Interpretation,1946-2231,285.0
129,7,Article,Competition Wrongs,Nicolas Cornell,/article/competition-wrongs,Legal Philosophy • Torts,1946-2231,285.0
129,7,Review,Examining the Case for Socialized Law,Myriam Gilles & Gary Friedman,/review/examining-the-case-for-socialized-law,Civil Procedure • Legal Ethics,1946-2231,285.0
129,7,Note,Unconstitutional Incarceration: Applying Strict Scrutiny to Criminal Sentences,Salil Dudani,/note/unconstitutional-incarceration,Constitutional Law • Criminal Law,1946-2231,285.0
129,7,Note,Rulemaking § 101,Brendan Costello,/note/rulemaking-101,Intellectual Property • Administrative Law,1946-2231,285.0
129,6,Article,"Respect, Individualism, and Colorblindness",Benjamin Eidelson,/article/respect-individualism-and-colorblindness,Constitutional Law • Antidiscrimination Law • Legal Philosophy,1600-1945,345.0
129,6,Article,The Wandering Officer,Ben Grunwald & John Rappaport,/article/the-wandering-officer,Policing,1600-1945,345.0
129,6,Feature,Building a Law-and-Political-Economy Framework: Beyond the Twentieth-Century Synthesis,"Jedediah Britton-Purdy, David Singh Grewal, Amy Kapczynski & K. Sabeel Rahman",/feature/building-a-law-and-political-economy-framework,Law and Economics • Legal History,1600-1945,345.0
129,6,Note,"Sincerity, Religious Questions, and the Accommodation Claims of Muslim Prisoners",Adeel Mohammadi,/note/sincerity-religious-questions-and-accommodation-claims,Constitutional Law • First Amendment • Prisons and Jails,1600-1945,345.0
129,6,Note,Island Judges,James T. Campbell,/note/island-judges,Federal Courts • Legal History • U.S. Territories,1600-1945,345.0
129,5,Article,Probable Cause Pluralism,Andrew Manuel Crespo,/article/probable-cause-pluralism,Criminal Procedure • Constitutional Law,1276-1599,323.0
129,5,Article,The Strategies of Anticompetitive Common Ownership,C. Scott Hemphill & Marcel Kahan,/article/strategies-of-anticompetitive-common-ownership,Antitrust Law • Corporate Law,1276-1599,323.0
129,5,Review,The Law of Informational Capitalism,Amy Kapczynski,/review/the-law-of-informational-capitalism,Law and Technology • Intellectual Property,1276-1599,323.0
129,5,Note,A Federal Builder’s Remedy for Exclusionary Zoning,Eric E. Stern,/note/federal-builders-remedy-for-exclusionary-zoning,Housing Law • Constitutional Law,1276-1599,323.0
129,5,Comment,The Power of Police Officers to Give “Lawful Orders”,James Mooney,/comment/the-power-of-police-officers-to-give-lawful-orders,Criminal Law • Criminal Procedure • Policing,1276-1599,323.0
129,4,Article,Plessy Preserved: Agencies and the Effective Constitution,Joy Milligan,/article/plessy-preserved,Legal History • Administrative Law • Civil-Rights Law,924-1275,351.0
129,4,Article,The New National Security Challenge to the Economic Order,J. Benton Heath,/article/the-new-national-security-challenge,International Trade • National Security,924-1275,351.0
129,4,Feature,Sex as a Pedagogical Failure,Amia Srinivasan,/feature/sex-as-a-pedagogical-failure,Antidiscrimination Law • Gender and Sexual Orientation • Legal Philosophy,924-1275,351.0
129,4,Note,Reflective Remedies,Mitchell Chervu Johnston,/note/reflective-remedies,Contracts • Remedies,924-1275,351.0
129,4,Note,Better Together? The Peril and Promise of Aggregate Litigation for Trafficked Workers,Nikko Price,/note/better-together,Civil Procedure • Labor and Employment Law,924-1275,351.0
129,3,Article,Secret Reason-Giving,Ashley S. Deeks,/article/secret-reason-giving,National Security • Executive Power,612-923,311.0
129,3,Article,Paid on Both Sides: Quid Pro Quo Exchange and the Doctrine of Consideration,Jed Lewinsohn,/article/paid-on-both-sides,Contracts • Legal Philosophy • Legal History,612-923,311.0
129,3,Review,Fidelity and Construction,Amul R. Thapar & Joe Masterman,/review/fidelity-and-construction,Federal Courts • Statutory Interpretation • Federalism,612-923,311.0
129,3,Note,Public Rights of First Refusal,Peter Damrosch,/note/public-rights-of-first-refusal,Property • Land Use,612-923,311.0
129,3,Note,Keeping Litigation at Home: The Role of States in Preventing Unjust Choice of Forum,Cara Reichard,/note/keeping-litigation-at-home,Civil Procedure • Contracts • Consumer Law,612-923,311.0
129,2,Article,Bans,Joseph Blocher,/article/bans,First Amendment • Second Amendment • Constitutional Law,308-611,303.0
129,2,Article,The Statutory Separation of Powers,Sharon B. Jacobs,/article/the-statutory-separation-of-powers,Administrative Law • Separation of Powers • Energy and Natural Resources Law,308-611,303.0
129,2,Review,The Politics of Decarceration,Rebecca Goldstein,/review/the-politics-of-decarceration,Criminal Law • Prisons and Jails,308-611,303.0
129,2,Note,The #MeToo Movement Migrates to M&A Boilerplate,Anna Windemuth,/note/the-metoo-movement-migrates-to-ma-boilerplate,Corporate Law • Labor and Employment Law,308-611,303.0
129,2,Note,Constraint Through Independence,Daniel B. Listwa & Lydia K. Fuller,/note/constraint-through-independence,Administrative Law • Labor and Employment Law,308-611,303.0
129,1,Article,The Lessons of Lone Pine,Nora Freeman Engstrom,/article/the-lessons-of-lone-pine,Torts • Civil Procedure,1-307,306.0
129,1,Article,Sex in Public,Elizabeth Sepper & Deborah Dinner,/article/sex-in-public,Legal History • Antidiscrimination Law • Gender and Sexual Orientation,1-307,306.0
129,1,Feature,How to Save the Supreme Court,Daniel Epps & Ganesh Sitaraman,/feature/how-to-save-the-supreme-court,Constitutional Law • Federal Courts,1-307,306.0
129,1,Note,"Miss-Conceptions: Abortifacients, Regulatory Failure, and Political Opportunity",Rachel Frank,/note/miss-conceptions,Reproductive Rights • Health Law,1-307,306.0
129,1,Note,Disparate-Impact Liability for Policing,Alisa Tiwari,/note/disparate-impact-liability-for-policing,Civil-Rights Law • Antidiscrimination Law • Policing,1-307,306.0
128,8,Article,The Claims of Official Reason: Administrative Guidance on Social Inclusion,Blake Emerson,/article/the-claims-of-official-reason,Administrative Law • Legal Philosophy • Civil-Rights Law • Immigration Law • Gender and Sexual Orientation,2122-2473,351.0
128,8,Article,"Bias In, Bias Out",Sandra G. Mayson,/article/bias-in-bias-out,Criminal Procedure • Antidiscrimination Law • Civil-Rights Law,2122-2473,351.0
128,8,Review,Equality of Opportunity and the Schoolhouse Gate,Michelle Adams & Derek W. Black,/review/equality-of-opportunity-and-the-schoolhouse-gate,,2122-2473,351.0
128,8,Note,Jury Selection as Election: A New Framework for Peremptory Strikes,Ela A. Leshem,/note/jury-selection-as-election,Criminal Procedure • Constitutional Law • Civil Procedure,2122-2473,351.0
128,8,Note,Zoned Out: How Zoning Law Undermines Family Law’s Functional Turn,Kate Redburn,/note/zoned-out,Family Law • Local Government • Housing Law • Gender and Sexual Orientation,2122-2473,351.0
128,7,Article,Empire States: The Coming of Dual Federalism,Gregory Ablavsky,/article/empire-states,Federalism • Legal History • Constitutional Law • Federal Indian Law,1792-2121,329.0
128,7,Article,Sexual Privacy,Danielle Keats Citron,/article/sexual-privacy,Privacy • Gender and Sexual Orientation • Internet Law,1792-2121,329.0
128,7,Essay,The Voluntariness of Voluntary Consent: Consent Searches and the Psychology of Compliance,Roseanna Sommers & Vanessa K. Bohns,/essay/the-voluntariness-of-voluntary-consent,Criminal Procedure • Constitutional Law,1792-2121,329.0
128,7,Note,Beyond Nudging: Debiasing Consumers Through Mixed Framing,Matteo Godi,/note/beyond-nudging,Law and Economics • Consumer Law • First Amendment,1792-2121,329.0
128,7,Comment,The Reverse-Entanglement Principle: Why Religious Arbitration of Federal Rights Is Unconstitutional,"Sophia Chua-Rubenfeld & Frank J. Costa, Jr.",/comment/the-reverse-entanglement-principle,First Amendment • Antidiscrimination Law • Constitutional Law,1792-2121,329.0
128,6,Article,Pleading Poverty in Federal Court,Andrew Hammond,/article/pleading-poverty-in-federal-court,Civil Procedure • Administrative Law,1478-1791,313.0
128,6,Article,"Disparate Impact, Unified Law",Nicholas O. Stephanopoulos,/article/disparate-impact-unified-law,Election Law • Voting Rights • Antidiscrimination Law • Civil-Rights Law,1478-1791,313.0
128,6,Review,The High Stakes of Low-Level Criminal Justice,Alexandra Natapoff,/review/the-high-stakes-of-low-level-criminal-justice,Criminal Law • Criminal Procedure • Constitutional Law,1478-1791,313.0
128,6,Note,Special Meetings and Consent Solicitations: How the Written-Consent Right Uniquely Empowers Shareholders,Meredith Foster,/note/special-meetings-and-consent-solicitations-how-the-written-consent-right-uniquely-empowers-shareholders,Corporate Law,1478-1791,313.0
128,6,Note,Making Black Lives Matter: Properly Valuing the Rights of the Marginalized in Constitutional Torts,Helen E. White,/note/making-black-lives-matter-properly-valuing-the-rights-of-the-marginalized-in-constitutional-torts,Remedies • Constitutional Law • Torts,1478-1791,313.0
128,5,Article,Regulatory Bundling,Jennifer Nou & Edward H. Stiglitz,/article/regulatory-bundling,Administrative Law • Legislation,1174-1477,303.0
128,5,Essay,Democratic Policing Before the Due Process Revolution,Sarah A. Seo,/essay/democratic-policing-before-the-due-process-revolution,Legal History • Criminal Procedure,1174-1477,303.0
128,5,Review,State Courts and Constitutional Structure,Goodwin Liu,/review/state-courts-and-constitutional-structure,Civil-Rights Law • Constitutional Law • Federalism • Antidiscrimination Law,1174-1477,303.0
128,5,Note,"Prosecuting Corporate Crime when Firms Are Too Big to Jail: Investigation, Deterrence, and Judicial Review",Nick Werle,/note/prosecuting-corporate-crime-when-firms-are-too-big-to-jail,Corporate Law • Criminal Law • Banking Law,1174-1477,303.0
128,5,Comment,"Building Political Will for Accountable, Equitable Trade Policy Making",Theodore T. Lee,/comment/building-political-will-for-accountable-equitable-trade-policy-making,International Trade • Separation of Powers,1174-1477,303.0
128,4,Article,The Forgotten History of Metes and Bounds,Maureen E. Brady,/article/the-forgotten-history-of-metes-and-bounds,Property • Legal History • Law and Economics,872-1173,301.0
128,4,Essay,The Dilemma of Localism in an Era of Polarization,Nestor M. Davidson,/essay/the-dilemma-of-localism-in-an-era-of-polarization,Local Government • Constitutional Law,872-1173,301.0
128,4,Review,The New Jim Crow Is the Old Jim Crow,Katie R. Eyer,/review/the-new-jim-crow-is-the-old-jim-crow,Antidiscrimination Law • Civil-Rights Law • Constitutional Law,872-1173,301.0
128,4,Note,Separation of Prosecutors,Leslie B. Arffa,/note/separation-of-prosecutors,Separation of Powers • Criminal Law • Executive Power,872-1173,301.0
128,4,Note,Monuments to the Confederacy and the Right to Destroy in Cultural-Property Law,E. Perot Bissell V,/note/monuments-to-the-confederacy-and-the-right-to-destroy-in-cultural-property-law,Cultural-Property Law • International Law • Human Rights Law,872-1173,301.0
128,3,Article,Innovation Policy Pluralism,Daniel J. Hemel & Lisa Larrimore Ouellette,/article/innovation-policy-pluralism,Intellectual Property • Health Law,544-871,327.0
128,3,Article,An American Approach to Social Democracy: The Forgotten Promise of the Fair Labor Standards Act,Kate Andrias,/article/an-american-approach-to-social-democracy,Labor and Employment Law • Legal History • Administrative Law,544-871,327.0
128,3,Feature,"GINA, Big Data, and the Future of Employee Privacy",Bradley A. Areheart & Jessica L. Roberts,/feature/gina-big-data-and-the-future-of-employee-privacy,Antidiscrimination Law • Privacy • Health Law,544-871,327.0
128,3,Note,Beyond the Critique of Rights: The Puerto Rico Legal Project and Civil Rights Litigation in America’s Colony,Valeria M. Pelet del Toro,/note/beyond-the-critique-of-rights,Critical Race Theory • Critical Legal Studies • Legal History • U.S. Territories,544-871,327.0
128,3,Comment,The Treaty Problem: Understanding the Framers’  Approach to International Legal Commitments,Jade Ford & Mary Ella Simmons,/comment/the-treaty-problem,Constitutional Law • International Law • Federalism,544-871,327.0
128,2,Article,What Should We Do After Work? Automation and Employment Law,Cynthia Estlund,/article/what-should-we-do-after-work,Labor and Employment Law,254-543,289.0
128,2,Article,Litigating Data Sovereignty,Andrew Keane Woods,/article/litigating-data-sovereignty,Internet Law • Foreign Affairs Law,254-543,289.0
